timestamp,equity,price
2004-04-16,99939,29.18
2004-04-19,99939,28.35
2004-04-20,99939,27.73
2004-04-21,99939,27.73
2004-04-22,99939,27.78
2004-04-23,99939,27.7
2004-04-26,99939,27.13
2004-04-27,99939,26.94
2004-04-28,99939,26.45
2004-04-29,99939,26.77
2004-04-30,99939,25.78
2004-05-03,99939,26.07
2004-05-04,99939,26.14
2004-05-05,99939,26.65
2004-05-06,99939,26.58
2004-05-07,99939,26.67
2004-05-10,99939,26.28
2004-05-11,99939,27.14
2004-05-12,99939,27.3
2004-05-13,99938.5,27.19
2004-05-14,99938.5,27.06
2004-05-17,99938.5,26.64
2004-05-18,99938.5,27.06
2004-05-19,99938.5,26.47
2004-05-20,99938.5,26.71
2004-05-21,99938.5,27.11
2004-05-24,99938.5,27.34
2004-05-25,99938.5,28.41
2004-05-26,99938.5,28.51
2004-05-27,99938.5,28.17
2004-05-28,99938.5,28.06
2004-06-01,99938,28.06
2004-06-02,99938,28.92
2004-06-03,99938,28.4
2004-06-04,99938,28.78
2004-06-07,99938,29.81
2004-06-08,99938,30.35
2004-06-09,99937.5,30.2
2004-06-10,99937.5,30.74
2004-06-14,99937.5,30.12
2004-06-15,99937.5,30.69
2004-06-16,99937,32.74
2004-06-17,99937,32.81
2004-06-18,99937,32.91
2004-06-21,99936.5,32.33
2004-06-22,99936.5,33
2004-06-23,99936.5,33.7
2004-06-24,99936.5,33.18
2004-06-25,99936.5,33.7
2004-06-28,99936,32.49
2004-06-29,99936,32.5
2004-06-30,99936,32.54
2004-07-01,99935.5,32.3
2004-07-02,99935.5,31.08
2004-07-06,99935.5,30.95
2004-07-07,99935.5,30.39
2004-07-08,99935.5,30.14
2004-07-09,99935,30.03
2004-07-12,99935,29.14
2004-07-13,99935,29.22
2004-07-14,99934.5,29.58
2004-07-15,99934.5,32.93
2004-07-16,99934.5,32.2
2004-07-19,99934,31.97
2004-07-20,99934,32.2
2004-07-21,99934,31.62
2004-07-22,99934,31.68
2004-07-23,99934,30.7
2004-07-26,99933.5,31.26
2004-07-27,99933.5,32.43
2004-07-28,99933.5,32.27
2004-07-29,99933,32.64
2004-07-30,99933,32.34
2004-08-02,99933,31.58
2004-08-03,99933,31.29
2004-08-04,99933,31.79
2004-08-05,99933,31.39
2004-08-06,99933,29.78
2004-08-09,99933,30.3
2004-08-10,99932.5,31.52
2004-08-11,99932.5,31.01
2004-08-12,99932.5,30.37
2004-08-13,99932,30.84
2004-08-16,99932,30.78
2004-08-17,99932,30.87
2004-08-18,99932,31.74
2004-08-19,99932,30.71
2004-08-20,99932,30.8
2004-08-23,99932,31.08
2004-08-24,99932,31.95
2004-08-25,99932,33.05
2004-08-26,99932,34.66
2004-08-27,99932,34.35
2004-08-30,99932,34.12
2004-08-31,99932,34.49
2004-09-01,99931.5,35.86
2004-09-02,99931.5,35.66
2004-09-03,99931.5,35.23
2004-09-07,99931.5,35.76
2004-09-08,99931,36.35
2004-09-09,99931,35.7
2004-09-10,99931,35.87
2004-09-13,99931,35.59
2004-09-14,99930.5,35.49
2004-09-15,99930.5,35.2
2004-09-16,99930.5,36.35
2004-09-17,99930.5,37.14
2004-09-20,99930,37.71
2004-09-21,99930,38.01
2004-09-22,99930,36.92
2004-09-23,99930,37.27
2004-09-24,99930,37.29
2004-09-27,99930,37.53
2004-09-28,99929.5,38.04
2004-09-29,99929.5,38.68
2004-09-30,99929.5,38.75
2004-10-01,99929,38.67
2004-10-04,99929,38.79
2004-10-05,99929,39.37
2004-10-06,99929,40.64
2004-10-07,99929,39.62
2004-10-08,99929,39.06
2004-10-11,99929,38.59
2004-10-12,99929,38.29
2004-10-13,99929,39.75
2004-10-14,99928.5,44.98
2004-10-15,99928.5,45.5
2004-10-18,99928.5,47.75
2004-10-19,99928.5,47.42
2004-10-20,99928,47.47
2004-10-21,99928,47.94
2004-10-22,99928,47.41
2004-10-25,99928,47.55
2004-10-26,99928,47.97
2004-10-27,99928,50.3
2004-10-28,99928,52.19
2004-10-29,99927.5,52.4
2004-11-01,99927.5,52.45
2004-11-02,99927.5,53.5
2004-11-03,99927.5,55.31
