timestamp,high,low,volume,adj close,P,R1,R2,R3,S1,S2,S3,obv,volume_zscore,rsi,macd,macds,macdh,sma,lma,sema,lema,overnight_gap,return_lag_1,return_lag_3,return_lag_5,volatility,SR_K,SR_D,SR_RSI_K,SR_RSI_D,ATR,HL_PCT,PCT_CHG,close
2002-06-05,22.89,22.35,4947900,22.72,22.653333333333336,22.95666666666667,23.193333333333335,23.49666666666667,22.41666666666667,22.113333333333337,21.876666666666672,-185183100.0,-0.06542406475812698,30.124223595935703,-0.16000000000000014,0.27152421652421704,-0.4315242165242172,24.132500000000004,24.197200000000013,23.83027260226941,23.987119623003302,0.0021925025226679218,-0.0026338893766463256,-0.02489270386266107,-0.052543786488740696,0.028884210750661124,14.999999999583304,13.49845201201137,3.5935201086951842,1.197840036231728,0.947142857142857,2.376760563380278,-0.26338893766463256,22.72
2002-06-06,23.23,22.04,4642800,22.16,22.476666666666663,22.913333333333327,23.666666666666664,24.103333333333328,21.723333333333326,21.28666666666666,20.533333333333324,-189825900.0,-0.17116996159625003,27.994227988572575,-0.2938461538461503,0.19983618233618275,-0.49368233618233304,24.022000000000006,24.17120000000001,23.671199021100897,23.915467873081603,0.010507977598415165,-0.02464788732394363,-0.032736796158882586,-0.08429752066115703,0.029268331852965904,3.208556149646855,11.332676611008402,0.0,1.197840036231728,0.9821428571428571,5.370036101083038,-2.464788732394363,22.16
2002-06-07,21.94,20.93,10935300,21.4,21.423333333333336,21.91666666666667,22.433333333333337,22.926666666666673,20.90666666666667,20.413333333333334,19.89666666666667,-200761200.0,2.9081376377653627,25.9012015972948,-0.3662820512820524,0.11675213675213748,-0.48303418803418985,23.882500000000007,24.12980000000001,23.45489435242462,23.816822074137228,-0.018215439891341105,-0.03429602888086647,-0.06057945566286227,-0.0815450643776825,0.029175140038416994,10.904872389538147,9.704476179589435,0.0,1.197840036231728,0.9864285714285713,4.719626168224306,-3.429602888086647,21.4
2002-06-10,21.84,21.34,4956700,21.48,21.55333333333333,21.766666666666662,22.05333333333333,22.266666666666662,21.266666666666662,21.05333333333333,20.766666666666662,-195804500.0,-0.1655781501187857,27.671232871405522,-0.5179487179487197,0.014487179487180098,-0.5324358974358998,23.790500000000005,24.086000000000013,23.26680917600323,23.725181992798515,0.003731347612858184,0.0037383177570093906,-0.05457746478873238,-0.06241815800960282,0.02834500101941535,12.761020881374474,8.958149806853159,5.475667147382857,1.8252223824609521,0.9878571428571428,2.3277467411545625,0.37383177570093906,21.48
2002-06-11,21.7,20.41,6241000,20.46,20.856666666666666,21.30333333333333,22.146666666666665,22.59333333333333,20.013333333333332,19.566666666666666,18.723333333333333,-202045500.0,0.4546692561705582,28.693181812475785,-0.79397435897436,-0.12690883190883145,-0.6670655270655286,23.616500000000002,24.006000000000014,22.999494016383874,23.597135640139747,0.007421184337616826,-0.04748603351955305,-0.0767148014440433,-0.10184372256365237,0.02371944782760237,1.035196687349183,8.233696652753935,8.637109730216624,4.7042589591998265,0.9657142857142854,6.304985337243398,-4.748603351955305,20.46
2002-06-12,20.75,19.94,9441400,20.09,20.26,20.580000000000002,21.07,21.39,19.770000000000003,19.450000000000003,18.960000000000004,-211486900.0,2.08908172807018,17.709923660336813,-1.033846153846163,-0.2975783475783476,-0.7362678062678154,23.3405,23.926400000000008,22.722399348156838,23.459600909153878,-0.002446783701726995,-0.01808406647116334,-0.061214953271027994,-0.11575704225352113,0.02376421731947532,2.830188679191858,5.542135415971838,0.0,4.7042589591998265,0.9485714285714282,4.031856645097057,-1.808406647116334,20.09
2002-06-13,20.05,19.38,6287200,19.54,19.656666666666666,19.933333333333334,20.326666666666668,20.603333333333335,19.263333333333332,18.986666666666665,18.59333333333333,-217774100.0,0.4675240155079132,4.80769230661366,-1.291153846153847,-0.47745726495726537,-0.8136965811965816,23.053500000000003,23.842200000000005,22.419313695951423,23.305891069579214,-0.003490404939768491,-0.027376804380288777,-0.09031657355679712,-0.11823104693140796,0.023910293554597502,2.8520499108226045,2.239145092454548,0.0,2.8790365767388746,0.9157142857142855,3.428863868986703,-2.7376804380288777,19.54
2002-06-14,20.36,18.11,7587500,20.1,19.523333333333333,20.936666666666667,21.773333333333333,23.186666666666667,18.686666666666667,17.273333333333333,16.436666666666667,-210186600.0,1.023463850663796,14.904679372466845,-1.4502564102564115,-0.6582407407407417,-0.7920156695156698,22.798000000000002,23.7462,22.198426677289383,23.180169851164344,-0.015472201377076293,0.028659160696008268,-0.017595307917888547,-0.06074766355140171,0.02565358082885967,31.437598735680314,12.373279108564924,19.226754893271305,6.4089182977571015,0.9892857142857141,11.194029850746269,2.865916069600827,20.1
2002-06-17,20.63,19.85,5796600,20.54,20.34,20.83,21.119999999999997,21.609999999999996,20.05,19.560000000000002,19.270000000000003,-204390000.0,0.08683097832176058,21.523178802958213,-1.6148717948717959,-0.8357977207977222,-0.7790740740740737,22.574500000000004,23.662200000000002,22.040481279452298,23.076633778569665,0.006941029354234542,0.021890547263681448,0.022399203583872485,-0.043761638733705865,0.02669167361369073,38.38862559181059,24.22609141277117,36.939094061149525,18.72194965147361,0.9899999999999997,3.797468354430368,2.189054726368145,20.54
2002-06-18,20.59,19.98,6310000,20.15,20.24,20.499999999999996,20.849999999999998,21.109999999999996,19.889999999999997,19.63,19.279999999999998,-210700000.0,0.3100811182829447,20.217729389066122,-1.7554487179487168,-1.0130698005698018,-0.742378917378915,22.345000000000002,23.574,21.860435443313982,22.961863826468893,-0.005859391763892603,-0.01898734177215189,0.03121801432958038,-0.015151515151515249,0.02489818922912164,32.53588516694519,34.120703164812035,34.05421729119263,30.073355415204485,0.9628571428571424,3.027295285359799,-1.898734177215189,20.15
